condition,  filename,   load,   severity,   sample_rate,    prlz,   faulty_bearing, DE,           FE,           BA
Normal,     97.mat,     0,      0,          12000,          None,   None,           X097_DE_time, X097_FE_time, None
Normal,     98.mat,     1,      0,          12000,          None,   None,           X098_DE_time, X098_FE_time, None
Normal,     99.mat,     2,      0,          12000,          None,   None,           X099_DE_time, X099_FE_time, None
Normal,     100.mat,    3,      0,          12000,          None,   None,           X100_DE_time, X100_FE_time, None
Inner Race, 105.mat,    0,      0.007,      12000,          None,   Drive End,      X105_DE_time, X105_FE_time, X105_BA_time
Inner Race, 106.mat,    1,      0.007,      12000,          None,   Drive End,      X106_DE_time, X106_FE_time, X106_BA_time
Inner Race, 107.mat,    2,      0.007,      12000,          None,   Drive End,      X107_DE_time, X107_FE_time, X107_BA_time
Inner Race, 108.mat,    3,      0.007,      12000,          None,   Drive End,      X108_DE_time, X108_FE_time, X108_BA_time
Inner Race, 169.mat,    0,      0.014,      12000,          None,   Drive End,      X169_DE_time, X169_FE_time, X169_BA_time
Inner Race, 170.mat,    1,      0.014,      12000,          None,   Drive End,      X170_DE_time, X170_FE_time, X170_BA_time
Inner Race, 171.mat,    2,      0.014,      12000,          None,   Drive End,      X171_DE_time, X171_FE_time, X171_BA_time
Inner Race, 172.mat,    3,      0.014,      12000,          None,   Drive End,      X172_DE_time, X172_FE_time, X172_BA_time
Inner Race, 209.mat,    0,      0.021,      12000,          None,   Drive End,      X209_DE_time, X209_FE_time, X209_BA_time
Inner Race, 210.mat,    1,      0.021,      12000,          None,   Drive End,      X210_DE_time, X210_FE_time, X210_BA_time
Inner Race, 211.mat,    2,      0.021,      12000,          None,   Drive End,      X211_DE_time, X211_FE_time, X211_BA_time
Inner Race, 212.mat,    3,      0.021,      12000,          None,   Drive End,      X212_DE_time, X212_FE_time, X212_BA_time
Inner Race, 3001.mat,   0,      0.028,      12000,          None,   Drive End,      X056_DE_time, None,         None
Inner Race, 3002.mat,   1,      0.028,      12000,          None,   Drive End,      X057_DE_time, None,         None
